oci,citing,cited,creation,timespan,journal_sc,author_sc
0620588029-062601631981,10.1016/j.jss.2021.111044,10.1145/2580950,2021-12,P7Y5M,no,no
0620588029-06603674124,10.1016/j.jss.2021.111044,10.1145/1254882.1254899,2021-12,P14Y,no,no
0620588029-062201957156,10.1016/j.jss.2021.111044,10.1109/tse.2013.53,2021-12,P7Y11M,no,no
0620588029-061402456006,10.1016/j.jss.2021.111044,10.1109/mascots.2016.17,2021-12,P5Y3M,no,no
0620588029-06303748495,10.1016/j.jss.2021.111044,10.1109/tr.2016.2630503,2021-12,P4Y9M,no,no
0620588029-06803415920,10.1016/j.jss.2021.111044,10.1109/splc.2011.20,2021-12,P10Y4M,no,no
0620588029-0630593396,10.1016/j.jss.2021.111044,10.1016/j.jss.2018.07.001,2021-12,P3Y2M,no,no
0620588029-062301003630,10.1016/j.jss.2021.111044,10.1007/s11219-011-9152-9,2021-12,P10Y5M,no,no
0620588029-061401030509,10.1016/j.jss.2021.111044,10.1007/s10664-018-9635-4,2021-12,P3Y4M,no,no
0620588029-062201957146,10.1016/j.jss.2021.111044,10.1109/tse.2013.55,2021-12,P7Y9M,no,no
0620588029-061203116339,10.1016/j.jss.2021.111044,10.1016/j.infsof.2015.11.004,2021-12,P5Y8M,no,no
0620588029-062302519408,10.1016/j.jss.2021.111044,10.1145/2791060.2791069,2021-12,P6Y4M,no,no
0620588029-061302894873,10.1016/j.jss.2021.111044,10.1109/ase.2013.6693089,2021-12,P8Y1M,no,no
0620588029-06150543317,10.1016/j.jss.2021.111044,10.1016/j.asoc.2014.11.023,2021-12,P6Y10M,no,no
0620588029-061203116546,10.1016/j.jss.2021.111044,10.1016/j.infsof.2014.04.002,2021-12,P7Y2M,no,no
0620588029-0610697262,10.1016/j.jss.2021.111044,10.1109/mc.2008.123,2021-12,P13Y8M,no,no
0620588029-06160954625,10.1016/j.jss.2021.111044,10.1016/j.rser.2017.02.023,2021-12,P4Y6M,no,no
0620588029-062401956877,10.1016/j.jss.2021.111044,10.1109/tse.2006.8,2021-12,P15Y11M,no,no
0620588029-06602338152,10.1016/j.jss.2021.111044,10.1007/s10270-014-0441-1,2021-12,P6Y11M,no,no
0620588029-061203116729,10.1016/j.jss.2021.111044,10.1016/j.infsof.2012.07.020,2021-12,P8Y9M,no,no
0620588029-062301965432,10.1016/j.jss.2021.111044,10.1109/tse.2007.70719,2021-12,P14Y4M,no,no
0620588029-062201914610,10.1016/j.jss.2021.111044,10.1016/j.is.2010.01.001,2021-12,P11Y3M,no,no
0620588029-0640593253,10.1016/j.jss.2021.111044,10.1016/j.jss.2011.06.026,2021-12,P10Y0M,no,no
0620588029-0610696855,10.1016/j.jss.2021.111044,10.1109/mc.2009.327,2021-12,P12Y2M,no,no
0620588029-06250452686,10.1016/j.jss.2021.111044,10.1016/j.scico.2012.12.004,2021-12,P8Y6M,no,no
0620588029-06170183364,10.1016/j.jss.2021.111044,10.1613/jair.2490,2021-12,P13Y5M,no,no
0620588029-0640868085,10.1016/j.jss.2021.111044,10.1017/s026988891200001x,2021-12,P9Y0M,no,no
0620588029-061701213003,10.1016/j.jss.2021.111044,10.1109/ms.2017.4121211,2021-12,P4Y1M,no,no
0620588029-062502642269,10.1016/j.jss.2021.111044,10.1145/2885497,2021-12,P5Y3M,no,no
0620588029-06210548938,10.1016/j.jss.2021.111044,10.1145/1656274.1656278,2021-12,P12Y0M,no,no
0620588029-062201331171,10.1016/j.jss.2021.111044,10.1109/tc.1978.1675141,2021-12,P43Y6M,no,no
0620588029-061402135599,10.1016/j.jss.2021.111044,10.1007/978-3-642-38709-8_11,2021-12,P8Y,no,no
0620588029-061902527146,10.1016/j.jss.2021.111044,10.1145/2786805.2786845,2021-12,P6Y3M,no,no
0620588029-062301003626,10.1016/j.jss.2021.111044,10.1007/s11219-011-9156-5,2021-12,P10Y3M,no,no
0620588029-0670910465,10.1016/j.jss.2021.111044,10.1145/1272998.1273020,2021-12,P14Y6M,no,no
0620588029-061203115975,10.1016/j.jss.2021.111044,10.1016/j.infsof.2018.08.003,2021-12,P2Y11M,no,no
0620588029-0660695574,10.1016/j.jss.2021.111044,10.1109/jproc.2015.2494198,2021-12,P5Y11M,no,no
0620588029-06120777902,10.1016/j.jss.2021.111044,10.1002/spe.652,2021-12,P16Y,no,no
0620588029-0630593383,10.1016/j.jss.2021.111044,10.1016/j.jss.2018.07.054,2021-12,P3Y2M,no,no
0620588029-062102971861,10.1016/j.jss.2021.111044,10.1109/icse.2012.6227196,2021-12,P9Y6M,no,no
0620588029-061303108384,10.1016/j.jss.2021.111044,10.1016/j.infsof.2008.09.009,2021-12,P12Y11M,no,no
0620588029-06170659020,10.1016/j.jss.2021.111044,10.1109/tsc.2014.2377724,2021-12,P6Y3M,no,no
0620588029-061303108333,10.1016/j.jss.2021.111044,10.1016/j.infsof.2009.05.001,2021-12,P11Y11M,no,no
0620588029-0630593477,10.1016/j.jss.2021.111044,10.1016/j.jss.2018.01.010,2021-12,P3Y8M,no,no
0620588029-061902526653,10.1016/j.jss.2021.111044,10.1145/2786805.2786852,2021-12,P6Y3M,no,no
0620588029-0650592144,10.1016/j.jss.2021.111044,10.1016/j.jss.2003.05.005,2021-12,P16Y11M,no,no
0620588029-06902421599,10.1016/j.jss.2021.111044,10.1186/s40537-015-0029-9,2021-12,P6Y1M,no,no
0620588029-061203116203,10.1016/j.jss.2021.111044,10.1016/j.infsof.2017.01.007,2021-12,P4Y7M,no,no
0620588029-06210655498,10.1016/j.jss.2021.111044,10.1016/j.eswa.2009.02.037,2021-12,P12Y3M,no,no
0620588029-06240944107,10.1016/j.jss.2021.111044,10.1002/cpe.4057,2021-12,P4Y10M,no,no
