oci,citing,cited,creation,timespan,journal_sc,author_sc
0605845608-062201284361,10.2139/ssrn.5095227,10.2307/41409967,2025,P14Y,no,no
062104418011-062201284361,10.1080/10696679.2024.2322600,10.2307/41409967,2024-03,P13Y,no,no
06204384865-062201284361,10.1108/bij-11-2021-0670,10.2307/41409967,2023-01-16,P12Y,no,no
061201933648-062201284361,10.3390/su14052549,10.2307/41409967,2022-02-23,P11Y,no,no
0660290207-062201284361,10.1016/j.jbusres.2020.01.003,10.2307/41409967,2020-03,P9Y,no,no
0640308636-062201284361,10.2139/ssrn.3821248,10.2307/41409967,2021,P10Y,no,no
0605602056-062201284361,10.1080/07366981.2025.2469812,10.2307/41409967,2025-02-28,P14Y,no,no
06301305263-062201284361,10.18394/iid.492829,10.2307/41409967,2019-04-19,P8Y,no,no
06330513861-062201284361,10.1177/18479790241284690,10.2307/41409967,2024-09-18,P13Y,no,no
06110311987-062201284361,10.2139/ssrn.2810040,10.2307/41409967,2016,P5Y,no,no
061801117662-062201284361,10.1016/j.techfore.2022.121802,10.2307/41409967,2022-09,P11Y,no,no
061101320163-062201284361,10.1007/978-3-030-94343-1_18,10.2307/41409967,2022,P11Y,no,no
06904363230-062201284361,10.1007/s40171-024-00395-y,10.2307/41409967,2024-03-30,P13Y,no,no
06801716324-062201284361,10.4018/jesma.2013070101,10.2307/41409967,2013-07-01,P2Y,no,no
061404244116-062201284361,10.2139/ssrn.4783419,10.2307/41409967,2024,P13Y,no,no
062103524235-062201284361,10.1371/journal.pone.0268761,10.2307/41409967,2022-10-27,P11Y,no,no
061303194539-062201284361,10.1063/5.0042254,10.2307/41409967,2021,P10Y,no,no
06404831817-062201284361,10.1108/jaoc-12-2023-0241,10.2307/41409967,2024-06-17,P13Y,no,no
0660290184-062201284361,10.1016/j.jbusres.2019.12.048,10.2307/41409967,2021-01,P10Y,no,no
0680844000-062201284361,10.1016/j.ijpe.2015.06.015,10.2307/41409967,2015-10,P4Y,no,no
062204190697-062201284361,10.1108/bij-03-2023-0136,10.2307/41409967,2024-02-06,P13Y,no,no
0607167742-062201284361,10.1016/j.techfore.2025.124078,10.2307/41409967,2025-06,P14Y,no,no
06804680565-062201284361,10.1177/02683962231225469,10.2307/41409967,2024-01-05,P13Y,no,no
06120459736-062201284361,10.1016/j.im.2020.103389,10.2307/41409967,2020-12,P9Y,no,no
06120459989-062201284361,10.1016/j.im.2018.03.001,10.2307/41409967,2018-06,P7Y,no,no
0605617809-062201284361,10.1016/j.indmarman.2025.02.005,10.2307/41409967,2025-04,P14Y,no,no
0606992193-062201284361,10.1371/journal.pone.0310854,10.2307/41409967,2025-01-27,P14Y,no,no
06260164282-062201284361,10.1016/j.dss.2018.12.005,10.2307/41409967,2019-02,P8Y,no,no
06340157754-062201284361,10.21833/ijaas.2023.07.009,10.2307/41409967,2023-07,P12Y,no,no
0680843330-062201284361,10.1016/j.ijpe.2017.08.022,10.2307/41409967,2017-11,P6Y,no,no
061302043958-062201284361,10.1108/jsma-07-2020-0178,10.2307/41409967,2020-10-26,P9Y,no,no
061601554411-062201284361,10.1108/jbim-07-2017-0175,10.2307/41409967,2018-09-24,P7Y,no,no
062202521254-062201284361,10.1109/rcis.2015.7128921,10.2307/41409967,2015-05,P4Y,no,no
06310385264-062201284361,10.1007/s10257-024-00669-z,10.2307/41409967,2024-02-10,P13Y,no,no
061801118065-062201284361,10.1016/j.techfore.2022.121513,10.2307/41409967,2022-04,P11Y,no,no
061801936375-062201284361,10.3390/su131810294,10.2307/41409967,2021-09-15,P10Y,no,no
061904247191-062201284361,10.1108/intr-10-2022-0808,10.2307/41409967,2024-01-31,P13Y,no,no
06180845984-062201284361,10.1111/jsbm.12380,10.2307/41409967,2018-01-12,P7Y,no,no
06803543929-062201284361,10.3917/g2000.345.0203,10.2307/41409967,2018-04-03,P7Y,no,no
06404363148-062201284361,10.1016/j.jbusres.2023.113998,10.2307/41409967,2023-09,P12Y,no,no
061502855183-062201284361,10.1108/k-10-2020-0684,10.2307/41409967,2021-03-08,P10Y,no,no
06180557892-062201284361,10.1057/ejis.2013.22,10.2307/41409967,2015-03,P4Y,no,no
06350179400-062201284361,10.1177/09717218231161239,10.2307/41409967,2023-05-06,P12Y,no,no
061801660553-062201284361,10.1111/isj.12215,10.2307/41409967,2018-08-09,P7Y,no,no
061702183905-062201284361,10.1016/j.techsoc.2021.101763,10.2307/41409967,2021-11,P10Y,no,no
06304343763-062201284361,10.1016/j.im.2022.103744,10.2307/41409967,2023-03,P12Y,no,no
061503445671-062201284361,10.1016/j.ijpe.2022.108654,10.2307/41409967,2022-12,P11Y,no,no
06801716596-062201284361,10.5465/19416520.2016.1162422,10.2307/41409967,2016-01,P5Y,no,no
06601475126-062201284361,10.3917/grh.164.0095,10.2307/41409967,2017-05-04,P6Y,no,no
06180557774-062201284361,10.1057/s41303-017-0049-y,10.2307/41409967,2017-09,P6Y,no,no
061403509782-062201284361,10.1108/ijlm-04-2022-0164,10.2307/41409967,2022-10-13,P11Y,no,no
061501758895-062201284361,10.1177/02666669221074259,10.2307/41409967,2022-01-18,P11Y,no,no
062101135557-062201284361,10.1109/access.2020.3048139,10.2307/41409967,2021,P10Y,no,no
