id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W3010782494,,3350,,Érica Mourão|João Felipe Pimentel|Leonardo Murta|Marcos Kalinowski|Emília Mendes|Claes Wohlin,https://openalex.org/A5002203924|https://openalex.org/A5010003572|https://openalex.org/A5102931782|https://openalex.org/A5062526200|https://openalex.org/A5103878525|https://openalex.org/A5037810527,https://orcid.org/0000-0001-7916-0143|https://orcid.org/0000-0001-6680-7470|https://orcid.org/0000-0002-5173-1247|https://orcid.org/0000-0003-1445-3425||https://orcid.org/0000-0003-0460-5253,BR|BR|BR|BR|SE|SE,Universidade Federal Fluminense|Universidade Federal Fluminense|Universidade Federal Fluminense|Pontifícia Universidade Católica do Rio de Janeiro|Blekinge Institute of Technology|Blekinge Institute of Technology,https://openalex.org/I161127581|https://openalex.org/I161127581|https://openalex.org/I161127581|https://openalex.org/I2699952|https://openalex.org/I52719799|https://openalex.org/I52719799,False|False|False|True|False|False,,0.99495793,182,https://openalex.org/I2699952,On the performance of hybrid search strategies for systematic literature reviews in software engineering,https://doi.org/10.1016/j.infsof.2020.106294,,24.2213,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2020-03-09,2020,article
https://openalex.org/W3034832379,"Systematic Literature Reviews (SLRs) have been adopted within Software Engineering (SE) for more than a decade to provide meaningful summaries of evidence on several topics. Many of these SLRs are now potentially not fully up-to-date, and there are no standard proposals on how to update SLRs in SE. The objective of this paper is to propose guidelines on how to best search for evidence when updating SLRs in SE, and to evaluate these guidelines using an SLR that was not employed during the formulation of the guidelines. To propose our guidelines, we compare and discuss outcomes from applying different search strategies to identify primary studies in a published SLR, an SLR update, and two replications in the area of effort estimation. These guidelines are then evaluated using an SLR in the area of software ecosystems, its update and a replication. The use of a single iteration forward snowballing with Google Scholar, and employing as a seed set the original SLR and its primary studies is the most cost-effective way to search for new evidence when updating SLRs. Furthermore, the importance of having more than one researcher involved in the selection of papers when applying the inclusion and exclusion criteria is highlighted through the results. Our proposed guidelines formulated based upon an effort estimation SLR, its update and two replications, were supported when using an SLR in the area of software ecosystems, its update and a replication. Therefore, we put forward that our guidelines ought to be adopted for updating SLRs in SE.",3350,3350,Claes Wohlin|Emília Mendes|Katia Romero Felizardo|Marcos Kalinowski,https://openalex.org/A5037810527|https://openalex.org/A5103878525|https://openalex.org/A5043877845|https://openalex.org/A5062526200,https://orcid.org/0000-0003-0460-5253||https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0003-1445-3425,SE|SE|BR|BR,Blekinge Institute of Technology|Blekinge Institute of Technology|Universidade Tecnológica Federal do Paraná|Pontifical Catholic University of Rio de Janeiro,https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I1283613182|https://openalex.org/I2699952,True|False|False|False,cc-by-nc-nd,0.99088067,138,https://openalex.org/I52719799,Guidelines for the search strategy to update systematic literature reviews in software engineering,https://doi.org/10.1016/j.infsof.2020.106366,Conselho Nacional de Desenvolvimento Científico e Tecnológico,16.4233,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2020-06-10,2020,article
https://openalex.org/W1980710855,,2290,,Barbara Kitchenham|Pearl Brereton|Mark Turner|Mahmood Niazi|Stephen Linkman|Rialette Pretorius|David Budgen,https://openalex.org/A5012102325|https://openalex.org/A5007624202|https://openalex.org/A5001344018|https://openalex.org/A5041382184|https://openalex.org/A5111517058|https://openalex.org/A5027093536|https://openalex.org/A5061755008,https://orcid.org/0000-0002-6134-8460||https://orcid.org/0000-0002-8520-4779|https://orcid.org/0000-0001-7318-7644|||https://orcid.org/0000-0001-7143-0241,GB|GB|GB|GB|GB|GB|GB,Keele University|Keele University|Keele University|Keele University|Keele University|Durham University|Durham University,https://openalex.org/I56007636|https://openalex.org/I56007636|https://openalex.org/I56007636|https://openalex.org/I56007636|https://openalex.org/I56007636|https://openalex.org/I190082696|https://openalex.org/I190082696,True|False|False|False|False|False|False,cc-by,0.97412291,114,https://openalex.org/I56007636,Refining the systematic literature review process—two participant-observer case studies,https://doi.org/10.1007/s10664-010-9134-8,University of Technology Sydney|Universidade de São Paulo|Engineering and Physical Sciences Research Council,8.6366,False,en,True,green,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Research,2010-06-24,2010,article
https://openalex.org/W2522451690,,,,Katia Romero Felizardo|Emília Mendes|Marcos Kalinowski|Érica Ferreira de Souza|Nandamudi L. Vijaykumar,https://openalex.org/A5043877845|https://openalex.org/A5103878525|https://openalex.org/A5062526200|https://openalex.org/A5050603863|https://openalex.org/A5042368174,https://orcid.org/0000-0001-9080-4165||https://orcid.org/0000-0003-1445-3425|https://orcid.org/0000-0002-5425-145X|https://orcid.org/0000-0002-9025-0841,BR|SE|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Blekinge Institute of Technology|Universidade Federal Fluminense|Universidade Tecnológica Federal do Paraná|National Institute for Space Research,https://openalex.org/I1283613182|https://openalex.org/I52719799|https://openalex.org/I161127581|https://openalex.org/I1283613182|https://openalex.org/I80849659,True|False|False|False|False,,0.98777271,100,https://openalex.org/I1283613182,Using Forward Snowballing to update Systematic Reviews in Software Engineering,https://doi.org/10.1145/2961111.2962630,,14.4914,False,en,False,closed,,,,,,,Software Engineering Research,2016-09-08,2016,article
https://openalex.org/W2775303056,,,,Érica Mourão|Marcos Kalinowski|Leonardo Murta|Emília Mendes|Claes Wohlin,https://openalex.org/A5002203924|https://openalex.org/A5062526200|https://openalex.org/A5102931782|https://openalex.org/A5103878525|https://openalex.org/A5037810527,https://orcid.org/0000-0001-7916-0143|https://orcid.org/0000-0003-1445-3425|https://orcid.org/0000-0002-5173-1247||https://orcid.org/0000-0003-0460-5253,BR|BR|BR|SE|SE,Universidade Federal Fluminense|Universidade Federal Fluminense|Pontifical Catholic University of Rio de Janeiro|Blekinge Institute of Technology|Blekinge Institute of Technology,https://openalex.org/I161127581|https://openalex.org/I161127581|https://openalex.org/I2699952|https://openalex.org/I52719799|https://openalex.org/I52719799,True|False|False|False|False,,0.97574096,73,https://openalex.org/I161127581,Investigating the Use of a Hybrid Search Strategy for Systematic Reviews,https://doi.org/10.1109/esem.2017.30,,8.1003,False,en,False,closed,,,,,,,Software Engineering Research,2017-11-01,2017,article
https://openalex.org/W1741569902,"In systematic reviews, the number of articles found by search strings tend to be very large. In order to limit the number of articles to handle manually, we investigate a search strategy based on references between papers. We first identify a “take-off paper” which is the starting point for the search and then we follow the references from that paper. We also investigate “cardinal papers”, i.e. papers that are referenced by many authors, and let the references to those papers guide the selection in the systematic review. We evaluate the search strategies on three published systematic reviews. The results vary greatly between the three studied systematic reviews, from 88% reduction to 92% extension of the original paper set.",,,Mats Skoglund|Per Runeson,https://openalex.org/A5090950796|https://openalex.org/A5087032437,|https://orcid.org/0000-0003-2795-4851,SE|SE,Lund University|Lund University,https://openalex.org/I187531555|https://openalex.org/I187531555,True|False,cc-by,0.98953041,69,https://openalex.org/I187531555,Reference-based search strategies in systematic reviews,https://doi.org/10.14236/ewic/ease2009.4,VINNOVA|Vetenskapsrådet,17.767,False,en,True,hybrid,Electronic workshops in computing,https://openalex.org/P4310311871,British Computer Society,https://openalex.org/S4220651901,1477-9358,journal,Software Engineering Research,2009-01-01,2009,article
https://openalex.org/W2059149317,"Background: Action research is a well-established research methodology. It is following a post-positivist research philosophy grounded in critical thinking. The methodology is driven by practical problems, emphasis participatory research, and develops practically useful solutions in an iterative manner.",,,Kai Petersen|Çiğdem Gencel|Negin Asghari|Dejan Baca|Stefanie Betz,https://openalex.org/A5071394068|https://openalex.org/A5033698104|https://openalex.org/A5065848296|https://openalex.org/A5041924350|https://openalex.org/A5057087037,https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0003-0115-8902|||https://orcid.org/0000-0002-3613-5893,SE|IT|SE|SE|DE,Blekinge Institute of Technology|Free University of Bozen-Bolzano|Ericsson (Sweden)|Ericsson (Sweden)|Karlsruhe Institute of Technology,https://openalex.org/I52719799|https://openalex.org/I171543936|https://openalex.org/I1306339040|https://openalex.org/I1306339040|https://openalex.org/I102335020,True|False|False|False|False,other-oa,0.97812693,67,https://openalex.org/I52719799,Action research as a model for industry-academia collaboration in the software engineering context,https://doi.org/10.1145/2647648.2647656,,10.2559,False,en,True,green,,,,,,,Software Engineering Techniques and Practices,2014-09-16,2014,article
https://openalex.org/W4239828870,,,,Claes Wohlin,https://openalex.org/A5037810527,https://orcid.org/0000-0003-0460-5253,SE,Blekinge Institute of Technology,https://openalex.org/I52719799,True,,0.98285348,48,https://openalex.org/I52719799,Empirical software engineering research with industry: Top 10 challenges,https://doi.org/10.1109/cesi.2013.6618469,,12.1342,False,en,False,closed,,,,,,,Software Engineering Research,2013-05-01,2013,article
https://openalex.org/W2112428464,,,,Stephen G. MacDonell|Martin Shepperd|Barbara Kitchenham|Emília Mendes,https://openalex.org/A5043958822|https://openalex.org/A5027684680|https://openalex.org/A5012102325|https://openalex.org/A5103878525,https://orcid.org/0000-0002-2231-6941|https://orcid.org/0000-0003-1874-6145|https://orcid.org/0000-0002-6134-8460|,NZ|BN|GB|GB|NZ,Auckland University of Technology|Universiti Brunei Darussalam|Brunel University of London|Keele University|University of Auckland,https://openalex.org/I39854758|https://openalex.org/I189462010|https://openalex.org/I59433898|https://openalex.org/I56007636|https://openalex.org/I154130895,True|False|False|False,,0.98338752,108,https://openalex.org/I39854758,How Reliable Are Systematic Reviews in Empirical Software Engineering?,https://doi.org/10.1109/tse.2010.28,Engineering and Physical Sciences Research Council,12.1409,False,en,False,closed,IEEE Transactions on Software Engineering,https://openalex.org/P4310320439,IEEE Computer Society,https://openalex.org/S8351582,0098-5589,journal,Software Engineering Research,2010-02-19,2010,article
https://openalex.org/W2404140835,,,,Claes Wohlin,https://openalex.org/A5037810527,https://orcid.org/0000-0003-0460-5253,SE,Blekinge Institute of Technology,https://openalex.org/I52719799,True,,0.97919425,66,https://openalex.org/I52719799,Second-generation systematic literature studies using snowballing,https://doi.org/10.1145/2915970.2916006,,9.9535,False,en,False,closed,,,,,,,Software Engineering Research,2016-05-24,2016,article
