Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Guidelines for snowballing in systematic literature studies and a replication in software engineering","-","Claes Wohlin","2014","Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering","10.1145/2601248.2601268","3735","-","https://doi.org/10.1145/2601248.2601268","","-","1-10","Include"
"Systematic literature studies","-","Samireh Jalali; Claes Wohlin","2012","Proceedings of the ACM-IEEE international symposium on Empirical software engineering and measurement","10.1145/2372251.2372257","619","-","https://doi.org/10.1145/2372251.2372257","","-","29-38","Include"
"Identifying relevant studies in software engineering","-","He Zhang; Muhammad Ali Babar; Paolo Tell","2010","Information and Software Technology","10.1016/j.infsof.2010.12.010","545","-","https://doi.org/10.1016/j.infsof.2010.12.010","","-","-","Include"
"A Model for Technology Transfer in Practice","-","Tony Gorschek; Per Garre; Stig Larsson; Claes Wohlin","2006","IEEE Software","10.1109/ms.2006.147","341","-","https://doi.org/10.1109/ms.2006.147","","-","-","Include"
"The role of replications in Empirical Software Engineering","-","Forrest Shull; Jeffrey C. Carver; Sira Vegas; Natália Juristo","2008","Empirical Software Engineering","10.1007/s10664-008-9060-1","318","-","https://doi.org/10.1007/s10664-008-9060-1","","-","-","Include"
"Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review","-","Vahid Garousi; Kai Petersen; Barış Özkan","2016","Information and Software Technology","10.1016/j.infsof.2016.07.006","238","-","https://doi.org/10.1016/j.infsof.2016.07.006","","-","-","Include"
"Experiences from using snowballing and database searches in systematic literature studies","-","Deepika Badampudi; Claes Wohlin; Kai Petersen","2015","Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering","10.1145/2745802.2745818","221","-","https://doi.org/10.1145/2745802.2745818","","-","1-10","Include"
"On the reliability of mapping studies in software engineering","-","Claes Wohlin; Per Runeson; Paulo Anselmo da Mota Silveira Neto; Emelie Engström; Ivan Machado; Eduardo Santana de Almeida","2013","Journal of Systems and Software","10.1016/j.jss.2013.04.076","210","-","https://doi.org/10.1016/j.jss.2013.04.076","","-","-","Include"
"Developing search strategies for detecting relevant experiments","-","Óscar Dieste; Anna Grimán; Natália Juristo","2008","Empirical Software Engineering","10.1007/s10664-008-9091-7","191","-","https://doi.org/10.1007/s10664-008-9091-7","","-","-","Include"
"The Success Factors Powering Industry-Academia Collaboration","-","Claes Wohlin; Aybüke Aurum; Lefteris Angelis; Laura Phillips; Yvonne Dittrich; Tony Gorschek; Håkan Grahn; Kennet Henningsson; Simon Kågström; Graham Low; Per Rovegard; Piotr Tomaszewski; Christine Van Toorn; Jeff Winter","2011","IEEE Software","10.1109/ms.2011.92","182","-","https://doi.org/10.1109/ms.2011.92","","-","-","Include"
"On the performance of hybrid search strategies for systematic literature reviews in software engineering","-","Érica Mourão; João Felipe Pimentel; Leonardo Murta; Marcos Kalinowski; Emília Mendes; Claes Wohlin","2020","Information and Software Technology","10.1016/j.infsof.2020.106294","182","-","https://doi.org/10.1016/j.infsof.2020.106294","","-","-","Include"
"Guidelines for the search strategy to update systematic literature reviews in software engineering","-","Claes Wohlin; Emília Mendes; Katia Romero Felizardo; Marcos Kalinowski","2020","Information and Software Technology","10.1016/j.infsof.2020.106366","138","-","https://doi.org/10.1016/j.infsof.2020.106366","","-","-","Include"
