Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
004-827-378-686-27X,Simulation-Based Evaluation for the Impact of Personnel Capability on Software Testing Performance,,2012,journal article,Journal of Software Engineering and Applications,19453116; 19453124,"Scientific Research Publishing, Inc.",,Jithinan Sirathienchai; Peraphon Sophatsathit; Decha Dechawatanapaisal,"This study presents a decision making process in three steps of knowledge management for test organization using process simulation and financial analysis. First, project effort cost assessment of test knowledge management process subjects to different project duration and number of staffs is established. Two knowledge management simulation models representing experienced personnel with knowledge sharing and inexperienced personnel with internal training respectively are employed to contrast test personnel capability. Second, performance evaluation of software testing process by different personnel capability is conducted to simulate system test using three project metrics, namely, duration, effort cost, and quality. Third, a comparative financial analysis is prepared to determine the best solution by return on investment, payback period, and benefit cost ratio. The results from three stages of finding are discussed to arrive at the final scenario. We provide a case study evaluating how software testing industry needs to build effective test organization with high quality personnel for sustainable development and improvement.",5,8,545,559,,Software Testing Process; Knowledge Management; Test Organization; Process Simulation; Personnel Capability,,,,,http://dx.doi.org/10.4236/jsea.2012.58063,,10.4236/jsea.2012.58063,,,0,000-130-685-142-496; 008-848-471-593-930; 012-550-858-473-020; 018-229-208-202-891; 030-822-472-475-006; 031-036-533-537-812; 034-428-989-411-531; 040-902-291-027-530; 041-108-775-364-224; 044-141-315-343-872; 055-756-707-211-369; 056-813-699-639-668; 058-498-986-401-922; 058-821-081-159-26X; 063-292-320-223-442; 074-794-718-731-42X; 077-150-287-002-49X; 084-607-675-410-736; 086-695-590-280-069; 094-709-231-406-912; 123-961-690-625-06X; 135-779-879-122-778; 135-919-760-015-31X; 146-144-019-333-620; 169-378-870-305-232; 182-099-857-852-054,2,true,cc-by,hybrid
010-363-851-290-401,HICSS - Knowledge Creation and Loss within a Software Organization: An Exploratory Case Study,,2015,conference proceedings article,2015 48th Hawaii International Conference on System Sciences,,IEEE,,Davi Viana; Tayana Conte; Sabrina Marczak; Raymundo Ferreira; Cleidson R. B. de Souza,"Software development activities are very critical, since most of them heavily depend on individuals' knowledge and their capabilities. This knowledge must be retained and managed in order to avoid productivity breakdowns. This paper empirically explores how knowledge is created and lost in a software organization, and discusses implications for software development. This is done through a case study in which we investigated a Brazilian RaD Institute. We found that knowledge creation can be achieved through: (1) knowledge sources, (2) architectural frameworks that contain common applications and architectures for a set of projects, and (3) lessons learned that contains concerns regarding previous projects. Additionally, we verified that some teams' actions might influence knowledge loss. To identify and to understand which aspects are related to managing knowledge is the first step towards avoiding its loss and facilitating organizational learning. Our work contributes to this end.",,,3980,3989,Software mining; Empirical research; Organizational learning; Information system; Social software engineering; Personal knowledge management; Knowledge value chain; Domain knowledge; Software; Open Knowledge Base Connectivity; Personal software process; Computer science; Software Engineering Process Group; Software walkthrough; Team software process; Software development; Knowledge integration; Knowledge management; Software peer review; Knowledge engineering,,,,,https://dblp.uni-trier.de/db/conf/hicss/hicss2015.html#VianaCMFS15 http://repositorio.pucrs.br:80/dspace/bitstream/10923/14127/2/Knowledge_Creation_and_Loss_within_a_Software_Organization_An_Exploratory_Case_Study.pdf https://ieeexplore.ieee.org/document/7070296/,http://dx.doi.org/10.1109/hicss.2015.477,,10.1109/hicss.2015.477,1598460439,,0,011-409-696-624-228; 011-515-474-663-247; 012-456-525-946-562; 013-269-121-185-026; 028-581-425-232-099; 032-395-572-024-56X; 034-702-120-144-00X; 036-140-079-460-369; 037-411-212-398-866; 044-803-438-335-362; 048-575-809-867-792; 052-468-103-673-911; 055-745-310-833-203; 057-445-245-506-908; 058-821-081-159-26X; 061-381-433-906-698; 063-446-032-593-747; 074-901-972-236-118; 078-611-272-849-896; 081-409-892-060-81X; 094-213-099-107-472; 094-575-643-533-079; 105-590-458-027-214; 107-461-656-930-190; 108-192-295-485-004; 115-238-886-744-594; 117-795-919-710-070; 122-297-290-547-577; 123-961-690-625-06X; 158-482-663-136-705; 176-142-412-662-454; 178-031-700-506-422,7,false,,
020-533-950-465-600,Who tested my software? Testing as an organizationally cross-cutting activity,2011-08-21,2011,journal article,Software Quality Journal,09639314; 15731367,Springer Science and Business Media LLC,Netherlands,Mika V. Mäntylä; Juha Itkonen; Joonas Iivonen,"There is a recognized disconnect between testing research and industry practice, and more studies are needed on understanding how testing is conducted in real-world circumstances instead of demonstrating the superiority of specific methods. Recent literature indicates that testing is a cross-cutting activity that involves various organizational roles rather than the sole involvement of specialized testers. This research empirically investigates how testing involves employees in varying organizational roles in software product companies. We studied the organization and values of testing using an exploratory case study methodology through interviews, defect database analysis, workshops, analyses of documentation, and informal communications at three software product companies. We analyzed which employee groups test software in the case companies, and how many defects they find. Two companies organized testing as a team effort, and one company had a specialized testing group because of its different development model. We found evidence that testing was not an action conducted only by testing specialists. Testing by individuals with customer contact and domain expertise was an important validation method. We discovered that defects found by developers had the highest fix rates while those revealed by specialized testers had the lowest. The defect importance was susceptible to organizational competition of resources (i.e., overvaluing defects of reporter's own products or projects). We conclude that it is important to understand the diversity of individuals participating in software testing and the relevance of validation from the end users' viewpoint. Future research is required to evaluate testing approaches for diverse organizational roles. Finally, to improve defect information, we suggest increasing automation in defect data collection.",20,1,145,172,Subject-matter expert; Software engineering; Engineering; Data collection; Product (category theory); Test strategy; Software; Test (assessment); Documentation; Knowledge management; End user,Industrial case study; Testing; Roles; Testers; Defect reporters; Values; Defect fix rate; Defect data analysis; Interviews,,,,https://link.springer.com/article/10.1007/s11219-011-9157-4/fulltext.html https://core.ac.uk/display/81263199 https://dblp.uni-trier.de/db/journals/sqj/sqj20.html#MantylaII12 https://doi.org/10.1007/s11219-011-9157-4 https://lup.lub.lu.se/search/publication/95c5e42f-09b6-4baf-9e1a-daf96e316c32 https://paperity.org/p/6050748/who-tested-my-software-testing-as-an-organizationally-cross-cutting-activity https://portal.research.lu.se/en/publications/who-tested-my-software-testing-as-an-organizationally-cross-cutti http://dblp.uni-trier.de/db/journals/sqj/sqj20.html#MantylaII12 https://link.springer.com/article/10.1007/s11219-011-9157-4 https://www.researchgate.net/profile/Juha_Itkonen/publication/220636085_Who_tested_my_software_Testing_as_an_organizationally_cross-cutting_activity/links/02e7e52bd896fd296b000000.pdf https://link.springer.com/content/pdf/10.1007%2Fs11219-011-9157-4.pdf,http://dx.doi.org/10.1007/s11219-011-9157-4,,10.1007/s11219-011-9157-4,2047103478,,0,002-888-708-300-461; 003-586-534-776-074; 004-069-327-969-835; 005-478-501-382-209; 015-013-726-939-074; 019-133-784-056-351; 020-865-247-029-963; 025-324-380-630-299; 029-755-208-510-500; 032-761-734-867-20X; 034-520-540-866-378; 034-846-778-055-815; 034-920-802-709-157; 043-807-724-617-709; 056-487-655-308-604; 057-971-082-122-407; 062-429-702-864-905; 064-577-692-438-191; 067-712-156-846-43X; 076-276-788-911-023; 080-544-713-697-58X; 081-979-879-966-873; 084-404-678-524-077; 085-831-539-561-620; 089-662-197-403-729; 105-430-803-392-691; 106-761-565-245-065; 111-359-845-763-049; 117-795-919-710-070; 120-664-015-054-54X; 121-074-686-978-205; 123-961-690-625-06X; 129-876-497-020-159; 131-916-507-982-331; 144-129-805-773-254; 146-709-970-981-499; 155-738-346-326-043; 158-482-663-136-705; 178-031-700-506-422; 179-397-843-259-628; 181-603-317-830-640,33,true,cc-by-nc,hybrid
029-755-208-510-500,EUROMICRO-SEAA - The Role of Experience in Software Testing Practice,,2008,conference proceedings article,2008 34th Euromicro Conference Software Engineering and Advanced Applications,10896503,IEEE,,A. Beer; Rudolf Ramler,"Practitioners report that experience plays an important role in effective software testing. We investigate the role of experience in a multiple case study about three successful projects conducted at Siemens Austria and document the state of practice in testing software systems. The studied projects were employed from the domains telecommunications, insurance and banking, as well as safety-critical railway systems. The study shows that test design is to a considerable extent based on experience in all three projects and that experience-based testing is an important supplementary approach to requirements-based testing. The study further analyzes the different sources of experience, the perceived value of experience for testing, and the measures taken to manage and evolve this experience.",,,258,265,Siemens; Test design; Engineering management; Software engineering; Engineering; Acceptance testing; Test strategy; Software; Testing software; Software testing; State of practice,metadata storage and retrieval; metadata design; WebDAV; Web authoring; document management,,,,https://doi.ieeecomputersociety.org/10.1109/SEAA.2008.28 https://ieeexplore.ieee.org/abstract/document/4725730 http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000004725730 http://ieeexplore.ieee.org/document/4725730/ https://www.computer.org/csdl/proceedings-article/seaa/2008/3276a258/12OmNC3XhzM https://dblp.uni-trier.de/db/conf/seaa/seaa2008.html#BeerR08,http://dx.doi.org/10.1109/seaa.2008.28,,10.1109/seaa.2008.28,2161995730,,0,003-096-205-472-246; 005-533-220-320-772; 011-220-479-362-058; 018-729-300-210-019; 034-920-802-709-157; 043-807-724-617-709; 055-498-815-134-39X; 062-437-003-740-145; 083-278-466-119-810; 085-335-765-366-169; 093-287-890-483-387; 103-476-101-455-417; 103-837-475-980-348; 104-155-328-893-736; 108-586-418-959-751; 114-435-523-509-022; 122-445-928-318-805; 123-961-690-625-06X; 126-984-962-629-939; 158-482-663-136-705; 178-031-700-506-422; 193-635-313-682-056,59,false,,
070-899-081-994-614,Contributing factors of successful software testing outsourcing,,2014,conference proceedings article,2014 8th. Malaysian Software Engineering Conference (MySEC),,IEEE,,Fatin Filzahti Ismail; Rozilawati Razali,,,,55,60,Knowledge process outsourcing; System integration testing; Business; Software construction; Software quality analyst; Test strategy; Process management; Personal software process; Outsourcing; Software peer review,,,,,http://ieeexplore.ieee.org/iel7/6971874/6985973/06985988.pdf https://ukm.pure.elsevier.com/en/publications/contributing-factors-of-successful-software-testing-outsourcing http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6985988,http://dx.doi.org/10.1109/mysec.2014.6985988,,10.1109/mysec.2014.6985988,2317954180,,0,000-454-989-315-705; 000-528-769-085-951; 003-591-057-268-611; 029-859-854-816-885; 029-957-012-631-584; 030-715-785-919-372; 037-799-978-047-967; 038-569-130-158-224; 044-378-509-556-10X; 047-784-649-081-794; 053-530-348-264-738; 053-599-370-937-471; 054-886-963-158-99X; 058-120-419-124-864; 070-826-641-845-899; 078-519-192-711-270; 090-781-333-707-477; 093-644-496-608-236; 103-924-723-171-394; 106-375-766-465-413; 117-107-886-311-580; 118-282-001-857-063; 118-706-774-268-208; 123-961-690-625-06X; 148-559-729-880-220; 158-482-663-136-705,1,false,,
073-720-094-530-778,Trade-off between automated and manual software testing,2011-09-07,2011,journal article,International Journal of System Assurance Engineering and Management,09756809; 09764348,Springer Science and Business Media LLC,India,Ossi Taipale; Jussi Kasurinen; Katja Karhu; Kari Smolander,"The study explores the current state of test automation in software testing organizations by focusing on the views and observations of managers, testers and developers in each organization. The case study was conducted in selected organizational units that develop and test technical software for industrial automation or telecommunication domains. The data was collected with 41 theme-based interviews in each unit. The interview data was analyzed qualitatively by using the grounded theory research method. It was found that although test automation was viewed as beneficial, it was not utilized widely in the companies. The main benefits of test automation were quality improvement, the possibility to execute more tests in less time and fluent reuse of testware. The major disadvantages were the costs associated with developing test automation especially in dynamic customized environments. Such issues as properties of tested products, attitudes of employees, resource limitations, and customers influenced the level of test automation in the case organizations.",2,2,114,125,Engineering management; Automation; Software engineering; Organizational unit; Engineering; Manual testing; Test strategy; Test (assessment); Testware; Resource (project management); Test Management Approach,Software testing; Test automation; Manual testing; Benefits and drawbacks of test automation; Qualitative research; Empirical study,,,,https://link.springer.com/content/pdf/10.1007%2Fs13198-011-0065-6.pdf https://dblp.uni-trier.de/db/journals/saem/saem2.html#TaipaleKKS11 https://link.springer.com/article/10.1007%2Fs13198-011-0065-6 https://rd.springer.com/article/10.1007/s13198-011-0065-6,http://dx.doi.org/10.1007/s13198-011-0065-6,,10.1007/s13198-011-0065-6,1973637110,,0,002-844-956-224-58X; 007-907-879-018-818; 009-627-096-122-615; 010-370-553-354-265; 015-013-726-939-074; 022-774-738-500-720; 023-282-579-987-783; 026-612-577-251-017; 026-917-713-739-111; 030-081-353-934-200; 043-760-262-086-61X; 047-831-665-759-20X; 048-645-419-219-088; 049-241-197-794-532; 051-197-481-133-009; 055-129-222-145-399; 057-918-617-175-095; 060-860-059-625-037; 064-577-692-438-191; 075-064-075-364-399; 077-924-094-355-279; 078-773-860-836-823; 092-655-551-157-00X; 100-269-321-531-88X; 103-925-107-039-394; 106-895-222-053-102; 107-109-314-672-280; 119-224-297-619-89X; 119-816-707-194-417; 120-061-783-081-855; 121-804-563-882-416; 123-961-690-625-06X; 138-794-414-842-235; 148-195-802-367-526; 154-518-016-373-09X; 155-738-346-326-043; 157-636-713-984-941; 158-482-663-136-705; 178-031-700-506-422; 179-173-492-094-311,44,false,,
165-309-179-213-865,EuroSPI - Factors with Negative Influence on Software Testing Practice in Spain: A Survey,,2009,book chapter,Communications in Computer and Information Science,18650929; 18650937,Springer Berlin Heidelberg,Germany,Luis Fernandez-Sanz; M. Teresa Villalba; José Ramón Hilera; Raquel Lacuesta,"Software testing is the commonest technique for software quality assurance. It is present in every development project and concentrates a large percentage of effort, there are still not many studies which address the real practice of individuals and organizations. Anyway, practitioners usually agree with the idea that software testing efficiency and effectiveness in their organizations might be improved. Two previous studies in Spain have revealed implemented testing practices in organizations and individual performance of software professionals when designing test cases should be improved. This paper presents the results of a survey designed to know if 23 factors determined by a panel of experts in 2007 may explain this situation of testing practice. Data collected reveal that none of the factors is clearly rejected as a negative influence for testing although some of them are not generally accepted. Exploratory statistical analysis reveals relations between certain pairs of items as well as a new grouping in factors.",42,,1,12,Engineering management; Software engineering; Engineering; Test case; Acceptance testing; Software quality assurance; Software; Software testing; Statistical analysis,,,,,https://core.ac.uk/display/79174504 https://dblp.uni-trier.de/db/conf/eurospi/eurospi2009.html#SanzVHG09 https://link.springer.com/chapter/10.1007/978-3-642-04133-4_1 http://ui.adsabs.harvard.edu/abs/2009spi..conf....1F/abstract https://rd.springer.com/chapter/10.1007/978-3-642-04133-4_1,http://dx.doi.org/10.1007/978-3-642-04133-4_1,,10.1007/978-3-642-04133-4_1,1585452567,,0,009-292-371-162-047; 020-519-461-911-808; 027-586-751-257-925; 030-351-428-399-378; 035-121-010-446-286; 036-626-511-890-131; 043-807-724-617-709; 047-323-699-184-52X; 050-306-431-927-656; 065-888-675-431-734; 072-697-564-999-716; 075-064-075-364-399; 080-407-430-236-686; 082-697-181-289-074; 085-335-765-366-169; 091-774-571-263-42X; 095-576-647-999-205; 100-102-480-249-764; 100-436-172-024-424; 103-554-037-893-13X; 116-953-447-460-185; 123-961-690-625-06X; 134-150-049-930-122; 147-709-419-825-888; 158-482-663-136-705; 178-031-700-506-422,16,false,,
182-099-857-852-054,Investigating the relationship between schedules and knowledge transfer in software testing,,2009,journal article,Information and Software Technology,09505849,Elsevier BV,Netherlands,Katja Karhu; Ossi Taipale; Kari Smolander,,51,3,663,677,Acceptance testing; Software performance testing; Test strategy; Knowledge transfer; Software; Computer science; Software development; Software reliability testing; Knowledge management; Test Management Approach,,,,,https://www.sciencedirect.com/science/article/pii/S0950584908001249 https://dblp.uni-trier.de/db/journals/infsof/infsof51.html#KarhuTS09 https://dialnet.unirioja.es/servlet/articulo?codigo=3003515 https://dl.acm.org/doi/10.1016/j.infsof.2008.09.001,http://dx.doi.org/10.1016/j.infsof.2008.09.001,,10.1016/j.infsof.2008.09.001,2026748126,,0,001-718-743-094-861; 002-844-956-224-58X; 004-475-282-166-097; 009-627-096-122-615; 012-476-502-909-353; 015-013-726-939-074; 016-370-075-536-467; 022-774-738-500-720; 026-612-577-251-017; 026-818-799-637-736; 027-049-385-111-833; 030-081-353-934-200; 031-589-747-331-473; 036-867-721-533-367; 041-395-238-411-296; 043-760-262-086-61X; 045-119-187-307-855; 048-645-419-219-088; 049-505-112-189-664; 051-197-481-133-009; 054-855-609-965-658; 054-953-188-193-571; 058-357-262-233-370; 060-243-101-359-972; 060-860-059-625-037; 062-510-573-122-320; 066-458-503-104-207; 066-572-285-477-302; 072-556-776-357-353; 075-064-075-364-399; 075-569-789-055-76X; 080-310-942-750-354; 080-429-193-225-605; 086-695-590-280-069; 090-608-003-976-915; 092-655-551-157-00X; 103-554-037-893-13X; 103-734-146-864-475; 105-064-041-352-898; 106-028-162-130-050; 106-895-222-053-102; 113-356-772-121-959; 119-816-707-194-417; 120-061-783-081-855; 120-468-057-135-382; 123-961-690-625-06X; 130-516-614-083-674; 131-640-799-490-165; 132-709-834-987-433; 138-032-181-853-572; 148-195-802-367-526; 150-733-883-803-840; 154-518-016-373-09X; 154-576-081-956-81X; 164-488-016-737-533; 168-511-777-921-210; 178-031-700-506-422; 178-997-348-004-882; 190-769-474-847-573,18,false,,
