Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"G Neri, R Marchand, N Walkinshaw","Exploratory Software Testing in Scrum: A Qualitative Study",2025,"International Conference on Agile …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-94544-1_11","",65,"2026-01-15 11:51:52","HTML","10.1007/978-3-031-94544-1_11","","",,,,,0,0.00,0,3,1,"Exploratory Testing (ET) is a dynamic software testing approach that emphasises creativity, real-time learning, and defect discovery. The integration of ET into structured frameworks …","https://link.springer.com/chapter/10.1007/978-3-031-94544-1_11","https://scholar.google.com/scholar?q=related:-eFiKlayu3gJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"B Ardıç, CE Brandt, A Khatami, M Swillus, A Zaidman","The qualitative factor in software testing",2025,"","repository.tudelft.nl","https://repository.tudelft.nl/record/uuid:4f13b74f-eb1f-4785-b47e-b747d96ff4c6","",78,"2026-01-15 11:51:52","","","","",,,,,0,0.00,0,5,1,"Software testing research has provided metrics on efficiency, error rates, and insights into the effectiveness of testing methodologies and tools. However, these tell only a part of the …","https://repository.tudelft.nl/file/File_185106e4-f726-4592-a36c-c3aff71430bb","https://scholar.google.com/scholar?q=related:oG0Xck6SzKIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Jakupovic, J Johansson, R Matela…","Bridging the Gap: Socio-Technical Perspectives on Software Testing and Automation in Manufacturing",2025,"… in IS (STPIS'25), 17-18 …","ceur-ws.org","https://ceur-ws.org/Vol-4134/paper16.pdf","",81,"2026-01-15 11:51:52","PDF","","","",,,,,0,0.00,0,4,1,"The integration of software development with traditional product development in manufacturing industries is increasingly critical. This paper examines software testing and …","https://ceur-ws.org/Vol-4134/paper16.pdf","https://scholar.google.com/scholar?q=related:BGVQQ2bAbawJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Bauer","Code Review of GUI-based Tests",2025,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:2006739","",84,"2026-01-15 11:51:52","HTML","","","",,,,,0,0.00,0,1,1,"Background: Modern software systems are large and complex, requiring collaboration among developers with diverse skills to manage this complexity. Code review is an essential …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:2006739","https://scholar.google.com/scholar?q=related:KPwXsMdjU2QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"RR Pena","Improving Test Case Diversity for Functional Testing in Computer Vision-Based Systems",2025,"","search.proquest.com","https://search.proquest.com/openview/f0485c9d11f6f6e89542057d9dc3da2d/1?pq-origsite=gscholar&cbl=18750&diss=y","",85,"2026-01-15 11:51:52","","","","",,,,,0,0.00,0,1,1,"Artificial Intelligence (AI) can serve as a powerful tool to enhance software testing within the Software Development Life Cycle (SDLC). By leveraging AI-driven testing, Quality …","https://api.mountainscholar.org/server/api/core/bitstreams/a9d20c89-1c61-4cfe-84c5-3336906c6bce/content","https://scholar.google.com/scholar?q=related:NW3_WWFHI88J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Elder, N Zahan, R Shu, M Metro, V Kozarev…","Do I really need all this work to find vulnerabilities, https://doi. org/10.1007/s10664-022-10179-6",2022,"Empirical software …","par.nsf.gov","https://par.nsf.gov/biblio/10358234","",88,"2026-01-15 11:51:52","","","","",,,,,0,0.00,0,6,4,"Context: Applying vulnerability detection techniques is one of many tasks using the limited resources of a software project. Objective: The goal of this research is to assist managers …","https://par.nsf.gov/servlets/purl/10358234","https://scholar.google.com/scholar?q=related:resGm8W3_r4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"F Pastor Ricos","Improving the QA Testing Process of Desktop, Web, Mobile, and XR Applications through Scriptless Testing using the TESTAR Tool",2025,"","riunet.upv.es","https://riunet.upv.es/handle/10251/214481","",92,"2026-01-15 11:51:52","","","","",,,,,0,0.00,0,1,1,"[EN] Software is a fundamental pillar in sectors such as banking, video games, and healthcare. Software testing is the most commonly used method to ensure the quality and …","https://riunet.upv.es/bitstream/handle/10251/214481/Pastor%20-%20Improving%20the%20QA%20testing%20process%20of%20desktop%20web%20mobile%20and%20XR%20applications%20through%20scrip....pdf?sequence=1","https://scholar.google.com/scholar?q=related:exiZdKphR1cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"C Jokisch","Design Recommendations for Motivational Learning Systems to Promote Competencies in Software Testing",2025,"","ediss.uni-goettingen.de","https://ediss.uni-goettingen.de/handle/11858/16350","",93,"2026-01-15 11:51:52","","","","",,,,,0,0.00,0,1,1,"Software testing is an integral part of the software development process and often determines the success or failure of software projects. Although testing can consume more …","https://ediss.uni-goettingen.de/bitstream/handle/11858/16350/Dissertation_Jokisch_Print.pdf?sequence=1","https://scholar.google.com/scholar?q=related:BjZ2_MzG-kEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Martini, T Besker, J Bosch","Chapter 4 Technical Debt Tracking: Current State of Practice: A Survey and Multiple Case Study in 15 Large Organizations",2022,"… Digital Transformation: 10 Years of Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-10873-0_6","",95,"2026-01-15 11:51:52","","10.1007/978-3-031-10873-0_6","","",,,,,0,0.00,0,3,4,"Large software companies need to support continuous and fast delivery of customer value both in the short and long term. However, this can be hindered if both the evolution and …","","https://scholar.google.com/scholar?q=related:WVDKafjpLyoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"R Kasauli, E Knauss, J Horkoff, G Liebel…","Chapter 10 Requirements Engineering Challenges and Practices in Large-Scale Agile System Development",2022,"… Digital Transformation: 10 …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-10873-0_14","",96,"2026-01-15 11:51:52","","10.1007/978-3-031-10873-0_14","","",,,,,0,0.00,0,5,4,"Context: Agile methods have become mainstream even in large-scale systems engineering companies that need to accommodate different development cycles of hardware and …","","https://scholar.google.com/scholar?q=related:TVCHTCAf8REJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
