Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"On software testing reference ontologies","-","Maryam Havakeshian; Yvan Labiche","2025","Journal of Systems and Software","10.1016/j.jss.2025.112759","-","Include"
"Mapeamento sistemático","Com a implantação da componente curricular da Educação Financeira no estado do Paraná surgiu a demanda de pesquisas e materiais de apoio pedagógico aos professores. Nesse sentido, articulá-la a novas maneiras de apresentar os conteúdos se faz necessário para aprimorar o processo de aprendizagem. A partir desse contexto, o objetivo deste trabalho é realizar um Mapeamento Sistemático sobre o ensino de Educação Financeira articulado com o uso das Múltiplas Representações. A abordagem metodológica de pesquisa foi adaptada de Kitchenham, Budgen e Brereton (2011) para realização de um Mapeamento Sistemático nas bases de dados Biblioteca Digital de Teses e Dissertações (BDTD), Catálogo de Teses e Dissertações da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Portal de Periódicos da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e Google Acadêmico, utilizando descritores específicos como strings (“Educação Financeira” AND “Múltiplas Representações”) – em somente títulos. Como resultado, somente uma dissertação de mestrado foi encontrada e ainda, trata-se de uma pesquisa portuguesa que apresenta o ensino da função afim a partir de situações que envolvem a Educação Financeira com a utilização de diferentes representações. Esse resultado evidenciou a escassez de pesquisas abordando o tema Educação Financeira articulado com as Múltiplas Representações.","Simone Luccas; Ricardo Rocha; Daniel Trevisan Sanzovo","2025","Gestão e Desenvolvimento","10.24979/ambiente.vi.1685","-","Include"
"Evolution of Data-Driven Flood Forecasting: Trends, Technologies, and Gaps—A Systematic Mapping Study","This paper presents a Systematic Mapping Study (SMS) on data-driven approaches in flood forecasting from 2019 to 2024, a period marked by transformative developments in Deep Learning (DL) technologies. Analysing 363 selected studies, this paper provides an overview of the technological evolution in this field, methodological approaches, evaluation practices and geographical distribution of studies. The study revealed that meteorological and hydrological factors constitute approximately 76% of input variables, with rainfall/precipitation and water level measurements forming the core predictive basis. Long Short-Term Memory (LSTM) networks emerged as the dominant algorithm (21% of implementations), whilst hybrid and ensemble approaches showed the most dramatic growth (from 2% in 2019 to 10% in 2024). The study also revealed a threefold increase in publications during this period, with significant geographical concentration in East and Southeast Asia (56% of studies), particularly China (36%). Several research gaps were identified, including limited exploration of graph-based approaches for modelling spatial relationships, underutilisation of transfer learning for data-scarce regions, and insufficient uncertainty quantification. This SMS provides researchers and practitioners with actionable insights into current trends, methodological practices, and future directions in data-driven flood forecasting, thereby advancing this critical field for disaster management.","Banujan Kuhaneswaran; G. Sorwar; Ali Reza Alaei; Feifei Tong","2025","Water","10.3390/w17152281","6","Include"
"Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations","Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.","Daniela dos Santos Alves; Deivid José Smek; É. Souza; K. Felizardo; N. L. Vijaykumar","2024","Brazilian Symposium on Software Quality","10.1145/3701625.3701652","1","Include"
"Deep Learning-Based Mitosis Detection in Breast Cancer Histopathology Images: A Mapping Study","Mitosis detection refers to the process of identifying and locating mitotic cells within histological or microscopic images. Mitosis, a crucial stage in the cell cycle, involves cell division, and detecting mitotic figures is particularly important in various fields, especially in cancer diagnosis and research. Pathologists takes more time to detect the mitosis in traditional way, also there may be huge variants between experts. As a result, there has been significant interest in developing automated methods for mitosis detection in histopathology images. Several automatic mitosis detection techniques have been proposed in recent years. Five electronic research databases were searched in order to complete the mapping investigation. We took into account research articles released between January 2013 and May 2023. There were 227 studies in the first batch of results. A total of 79 studies were chosen from this set. We conducted a direct search of research organizations’ and individuals’ publications as well as snowballing techniques to find the 73 researchers who completed these investigations. 79 papers addressing Deep learning-based mitotic detection in breast cancer were found through the mapping project, and these have been examined to gather pertinent data for a number of research concerns. This mapping study will help the future researchers to easily identify the relevance within each study and will lead to continuous advancements in deep learning architectures and algorithms will likely lead to improved accuracy and efficiency in mitosis detection. Refinement of models, such as convolutional neural networks (CNNs) and more sophisticated architectures, may enhance the ability to detect mitotic figures with higher precision.","Premisha Premananthan; Mauran Kanagarathnam","2024","International Conference on Soft Computing and Software Engineering","10.1109/scse61872.2024.10550511","2","Include"
"Nature-inspired metaheuristic methods in software testing","-","Niloofar Khoshniat; Amirhossein Jamarani; Ahmad Ahmadzadeh; Mostafa Haghi Kashani; Ebrahim Mahdipour","2023","Soft Computing - A Fusion of Foundations, Methodologies and Applications","10.1007/s00500-023-08382-8","23","Include"
"Software Testing Issues Improvement in Quality Assurance","Quality assurance ensures that the project is carried out following the agreed-upon supplies, principles, and then purposes. The goal of type and its calibration investigation remains to better comprehend the multifaceted course of software analysis. Current software rehearses have some errors such as analysis techniques, user arrogances, and logistic culture. Altogether of these subjects, including such rushed testing, way to quickly times, totally inadequate supporting documents, and so on others must be addressed together. Describe a solution to the significant trouble of product testing in quality managing. We will discuss about the solutions of testing problems in quality management. propose a solution to the glitches mentioned above.","M. Salahat; Raed A. Said; K. Hamid; Usama Haseeb; Elsaid Abdel Maguid Abdel Ghani; A. Abualkishik; Muhammad Waseem Iqbal; Mohammad Inairat","2023","2023 International Conference on Business Analytics for Technology and Security (ICBATS)","10.1109/icbats57792.2023.10111145","2","Include"
"Systematic Mapping Study on the Use of Different Approaches for Detecting the Femoral Fracture Types using X-ray Images","Usually the X-ray images can be used to detect fractures and help the physician to provide the appropriate diagnosis. To avoid further injury or causing more harm to the injured area, it is crucial to treat any broken or fractured bones as medical emergencies and seek the necessary treatment without delay. A thorough analysis was carried out to discover the previous studies in detecting the fractures using X-ray images by incorporating different techniques. Especially, as we all know artificial Intelligence and Machine Learning play a vital role in the medical domain in various aspects nowadays. During this mapping study, various fracture detection using image processing techniques were considered. Studies related to the analysis on X-ray images to detect fractures from 2010-2021 presented along with the findings discovered. The related studies extracted from six electronic archives namely Springer Link, IEEE Xplore, ACM Digital Library, Research Gate, and Science Direct. From the studies obtained there were no studies reported yet to classify the type of femoral neck fracture. There are four types of neck fractures that can occur in the femoral. It’s difficult for a doctor or radiographer with less experience to detect the exact type of femoral neck fracture in limited time. Anyhow to expand this study further, to detect the femoral fracture type in advance, previous studies related in detecting the other fractures using X-rays were analyzed. Totally around 200 studies were initially chosen, and 12 papers were shortlisted from the depth analysis. Numerous studies have been done on the identification of bone fractures. There have been attempts to use Artificial Neural Networks (ANN), Support Vector Machine (SVM), and Local Binary Patterns (LBP) approaches frequently. This study would be a promising start for the future scholars to more precisely focus on detecting the type the femoral neck fracture in advance by adapting prevailing Machine and Deep Learning techniques.","M. Kanthasamy; S. Prasanth; K. Banujan; B. Kumara","2022","2022 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","10.1109/3ict56508.2022.9990618","1","Include"
"A Systematic Mapping Study in the area of Software Testing","This article offers an overview of the research developed in the last decade in the area of software testing. Systematic Literature Mapping was used as a research methodology, and based on three databases, 171 primary studies were selected. The study raises a set of research questions about techniques, strategies and types of tests, aspects such as quality factors analyzed, degree of innovation, and even about the empirical method used in the study. Among the findings, it was found that performance tests are the most analyzed types of tests, mixed strategies were the most cited, that efficiency turned out to be the most important quality factor, and that case studies are the most used technique by researchers. The secondary study carried out allowed us to conclude that research in the field of software testing is still valid in the context of Software Engineering, so it is pertinent to continue research on specific topics through both primary and secondary studies.","R. Vera; Naomi Garcia; J. Díaz","2022","International Journal of Combinatorial Optimization Problems and Informatics","10.61467/2007.1558.2022.v13i4.321","-","Include"
"Perceptions of knowledge management in Brazilian software development companies","The software development companies conduct activities that generate a considerable amount of knowledge. Knowledge Management (KM) allows working with the generated knowledge helping in organizational learning. However, professionals in software companies still face several challenges to articulate and leverage knowledge in the organization. We aim at providing evidence about how KM has been adopted in practical environments of software development. We designed a survey instrument that was distributed to Brazilian software development professionals. The survey results improved the current understanding of KM and how it manifests itself in practical software development environments.","Juliana Oliveira dos Santos; Guilherme Augusto dos Reis Martins; É. Souza; K. Felizardo; G. V. Meinerz","2022","Conferencia Iberoamericana de Software Engineering","10.5753/cibse.2022.20975","2","Include"
"Big Data Testing Techniques: Taxonomy, Challenges and Future Trends",": Big Data is reforming many industrial domains by providing decision support through analyzing large data volumes. Big Data testing aims to ensure that Big Data systems run smoothly and error-free while maintaining the performance and quality of data. However, because of the diversity and complexity of data, testing Big Data is challenging. Though numerous research efforts deal with Big Data testing, a comprehensive review to address testing techniques and challenges of Big Data is not available as yet. Therefore, we have systematically reviewed the Big Data testing techniques’ evidence occurring in the period 2010-2021. This paper discusses testing data processing by highlighting the techniques used in every processing phase. Furthermore, we discuss the challenges and future directions. Our findings show that diverse functional, non-functional and combined (functional and non-functional) testing techniques have been used to solve specific problems related to Big Data. At the same time, most of the testing challenges have been faced during the MapReduce validation phase. In addition, the combinatorial testing technique is one of the most applied techniques in combination with other techniques (i.e., random testing, mutation testing, input space partitioning and equivalence testing) to find various functional faults through Big Data testing.","Iram Arshad; S. H. Alsamhi; W. Afzal","2021","Computers, Materials &amp; Continua","10.32604/cmc.2023.030266","8","Include"
