DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1109/EDUCON.2018.8363374,The PACE experience: Global collaborative engineering course and global projects,"Pedro Orta, Ricardo A. Ramírez-Mendoza, Horacio Ahuett-Graza",2018 IEEE Global Engineering Education Conference (EDUCON),2018,"Global engineering in design education is more important in this century and is a challenge for academic institutions. Industry-Academia relations are essential for student development. Two initiatives of collaboration related to the PACE program have been developed: the Global Collaboration Projects and the Global course. In this work, we present a project and course examples, tools related to communication in this type of projects. A discussion of results and a conclusion is presented with some ideas to take into consideration when developing collaborative courses to prepare the new engineers for the global market.",ca921b9b-82bf-40f8-87e8-f9e15e480a1b,5,11,(missing PubMedId)
10.1145/3502870.3506566,Foundations for Esports Curricula in Higher Education,"Michael Scott, Rory Summerley, Nicolas Besombes, Cornelia Connolly, Joey Gawrysiak, Tzipora Halevi, Seth E. Jenny, Michael A. Miljanovic, Melissa Stange, Toni Taipalus, J. Patrick Williams",ITiCSE-WGR,2021,"Esports has generated an industry of increasing economic and cultural importance. In recent years, universities and other higher education institutions have responded to its growth by establishing programmes of study which aim to satisfy the needs of innovators operating in the area. However, there is not yet consensus on what an esports curriculum should include. Despite being a technology-driven sector with ethical and professional dimensions that intersect computing, current ACM and IEEE curricula do not mention esports. Furthermore, existing courses tend to provide teaching and training on a wide variety of topics aside from those traditionally in computer science. These include: live events management; psychological research; sports science; marketing; public relations; video (livestream) production; and community management; in addition to coaching and communication. This working group examined the requirements for developing esports studies at universities with a focus on understanding career prospects in esports and on the challenges presented by its interdisciplinary complexity. Thereby, paving the way for a framework to support the design of esports curricula in higher education.",f417729e-867f-4e1a-b87d-a77689e7e6fc,23,117,(missing PubMedId)
10.21606/LEARNXDESIGN.2019.01029,Motivational factors for participation in industrial design competition,"Bao-Yi Zhang, Min‐Yuan Ma","Insider Knowledge - Proceedings of the Design Research Society Learn X Design Conference, 2019",2019,": Design competitions play an important role in education. The purpose of this paper is to explore the motivational factors of the participants in industrial design competitions and what attributes of the competitions affect these factors. In this study, a two-stage method combining qualitative and quantitative methods was used, including evaluation grid method (EGM) and quantification theory type 1 method. These methods are based on Miryoku engineering theory. The results of the study reflect the motivational factors of students to participate in design competitions, and establish the weighted relationship between these motivations and the competition attributes. The study indicates that the participants want to compete in design competitions with a sense of authority, a sense of fairness, a sense of self-realization and a sense of honour. These abstract reasons contain the corresponding rationale and specific reasons. The results of the study can provide a theoretical reference for participating students, educational institutions and competition organizers.",af253752-9505-4822-996b-b7697ebd4ebd,1,28,(missing PubMedId)
10.16920/JEET/2017/V30I3/110556,OBE based Industry Academy Approach for Embedded System Design Course,"M. Rajendra Prasasd, B. Santosh Kumar, A. Swarnamani",(missing journal),2016,"Outcome-Based Education (OBE) is a powerful framework which emphasizes on the outcomes of the course. OBE is the student-centred learning method that focuses on measuring the student performance. At the end of each course, student should fulfill the course outcomes.The purpose of this paper is to investigate and present an analysis report that gives the methodology to enhance the capabilities of a student from the existing courses by OBE based industry academy approach for embedded system design course. The objective for the Embedded Systems(ES) course enables the students to understand basics and program of an embedded system. It helps to learn and understand the method of designing, operating systems concepts, types and choosing an RTOS for an embedded system for any type of applications. It lets students design, implement and test an embedded system.The interaction between the Industry and Academia creates a path for the exchange of knowledge which is very crucial. Academia is the major source of knowledge for industry which provides required infrastructure and support to the Academia. This interaction provides a platform for the students to foster research interests. Through this paper, we have implemented Industry-Academia Approach (IAA) to meet the outcomes of industry oriented course and also discuss the outcomes of the projects that we have undertaken during and after the training program through the collaboration with the industry.",f3ef6ddc-1f12-4c49-9f39-f8947ce53279,2,17,(missing PubMedId)
