"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VNDTICC2","journalArticle","2018","Orta, Pedro; Ramírez-Mendoza, Ricardo Ambrocio; Ahuett-Garza, Horacio","The PACE experience: Global collaborative engineering course and global projects","2018 IEEE Global Engineering Education Conference (EDUCON)","","","","https://api.semanticscholar.org/CorpusID:44157278","","2018","2026-01-22 00:36:50","2026-01-22 00:36:50","","1259-1264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL229BAE","journalArticle","2019","Zhang, Bao-Yi; Ma, Min-Yuan","Motivational factors for participation in industrial design competition","Insider Knowledge - Proceedings of the Design Research Society Learn X Design Conference, 2019","","","","https://api.semanticscholar.org/CorpusID:233272510","","2019","2026-01-22 00:36:50","2026-01-22 00:36:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEL9RCMV","journalArticle","2017","Prasasd, Rajendra; Santosh, B.; Kumar, Pawan; Swarnamani, A.; Prasasd, M. Rajendra","OBE based Industry Academy Approach for Embedded System Design Course","Journal of Engineering Education Transformations","","","","https://api.semanticscholar.org/CorpusID:114320349","","2017","2026-01-22 00:36:50","2026-01-22 00:36:50","","150-156","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7X4BPAZ","journalArticle","2021","Scott, Michael J.; Summerley, Rory; Besombes, Nicolas; Connolly, Cornelia; Gawrysiak, Joey; Halevi, Tzipora; Jenny, Seth E.; Miljanovic, Michael A.; Stange, Melissa C.; Taipalus, Toni; Williams, J. Patrick","Foundations for Esports Curricula in Higher Education","Proceedings of the 2021 Working Group Reports on Innovation and Technology in Computer Science Education","","","","https://api.semanticscholar.org/CorpusID:245568620","","2021","2026-01-22 00:36:50","2026-01-22 00:36:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
