Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Foundations for Esports Curricula in Higher Education","Esports has generated an industry of increasing economic and cultural importance. In recent years, universities and other higher education institutions have responded to its growth by establishing programmes of study which aim to satisfy the needs of innovators operating in the area. However, there is not yet consensus on what an esports curriculum should include. Despite being a technology-driven sector with ethical and professional dimensions that intersect computing, current ACM and IEEE curricula do not mention esports. Furthermore, existing courses tend to provide teaching and training on a wide variety of topics aside from those traditionally in computer science. These include: live events management; psychological research; sports science; marketing; public relations; video (livestream) production; and community management; in addition to coaching and communication. This working group examined the requirements for developing esports studies at universities with a focus on understanding career prospects in esports and on the challenges presented by its interdisciplinary complexity. Thereby, paving the way for a framework to support the design of esports curricula in higher education.","M. Scott; Rory Summerley; Nicolas Besombes; C. Connolly; Joey Gawrysiak; Tzipora Halevi; Seth E. Jenny; Michael A. Miljanovic; Melissa C. Stange; Toni Taipalus; J. Williams","2021","ITiCSE-WGR","10.1145/3502870.3506566","20","Include"
"Motivational factors for participation in industrial design competition",": Design competitions play an important role in education. The purpose of this paper is to explore the motivational factors of the participants in industrial design competitions and what attributes of the competitions affect these factors. In this study, a two-stage method combining qualitative and quantitative methods was used, including evaluation grid method (EGM) and quantification theory type 1 method. These methods are based on Miryoku engineering theory. The results of the study reflect the motivational factors of students to participate in design competitions, and establish the weighted relationship between these motivations and the competition attributes. The study indicates that the participants want to compete in design competitions with a sense of authority, a sense of fairness, a sense of self-realization and a sense of honour. These abstract reasons contain the corresponding rationale and specific reasons. The results of the study can provide a theoretical reference for participating students, educational institutions and competition organizers.","Bao-Yi Zhang; Min-Yuan Ma","2019","Insider Knowledge - Proceedings of the Design Research Society Learn X Design Conference, 2019","10.21606/learnxdesign.2019.01029","2","Include"
"The PACE experience: Global collaborative engineering course and global projects","Global engineering in design education is more important in this century and is a challenge for academic institutions. Industry-Academia relations are essential for student development. Two initiatives of collaboration related to the PACE program have been developed: the Global Collaboration Projects and the Global course. In this work, we present a project and course examples, tools related to communication in this type of projects. A discussion of results and a conclusion is presented with some ideas to take into consideration when developing collaborative courses to prepare the new engineers for the global market.","P. Orta; R. Ramírez-Mendoza; H. Ahuett-Garza","2018","IEEE Global Engineering Education Conference","10.1109/educon.2018.8363374","4","Include"
"OBE based Industry Academy Approach for Embedded System Design Course","-","Rajendra Prasasd; B. Santosh; Pawan Kumar; A. Swarnamani; M. R. Prasasd","2017","-","10.16920/jeet/2017/v30i3/110556","2","Include"
