Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Development of an Ontology-based Approach for Knowledge Management in Software Testing","Software development organizations are seeking to add quality to their products. Testing processes are strategic elements to manage projects and product quality. However, advances in technology and the emergence of increasingly critical applications make testing a complex task and large volumes of information are generated. In fact, software testing is a knowledge intensive process. Because of this, these organizations have shown a growing interest in Knowledge Management (KM) programs, which in turn support the improvement of testing procedures. KM emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, called Ontology-based Testing Knowledge Management (OntoT-KM), that aims to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs).  OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability, and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach can guide KM initiatives in software testing.","É. Souza; R. Falbo; N. Vijaykumar; K. Felizardo; G. V. Meinerz; Marcos S. Specimille; Alexandre G. N. Coelho","2021","Journal of Software Engineering Research and Development","10.5753/jserd.2021.1898","3","Include"
"Experience Report on Developing an Ontology-based Approach for Knowledge Management in Software Testing","Software testing is a knowledge intensive process. Thus, Knowledge Management (KM) emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, Ontology-based Testing Knowledge Management (OntoT-KM), to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs). OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach is able to guide KM initiatives in software testing.","É. Souza; R. Falbo; Marcos S. Specimille; Alexandre G. N. Coelho; N. Vijaykumar; K. Felizardo; G. V. Meinerz","2020","Brazilian Symposium on Software Quality","10.1145/3439961.3439993","3","Include"
"A systematic literature review on semantic web enabled software testing","Abstract Software testing, as a major verification and validation activity which revolves around quality tests, is a knowledge-intensive activity. Hence, it is reasonable to expect that it can be improved by effective application of semantic web technologies, e.g., ontologies, which have been frequently used in knowledge engineering activities. The objective of this work is to investigate and provide a better understanding of how semantic web enabled techniques, i.e., the techniques that are based on the effective application of the semantic web technologies, have been used to support software testing activities. For this purpose, a Systematic Literature Review based on a predefined procedure is conducted. A total of 52 primary studies were identified as relevant, which have undergone a thorough meta-analysis with regards to our posed research questions. This study indicates the benefits of semantic web enabled software testing in both industry and academia. It also identifies main software testing activities that can benefit from the semantic web enabled techniques. Furthermore, contributions of such techniques to the testing process are thoroughly examined. Finally, potentials and difficulties of applying these techniques to software testing, along with the promising research directions are discussed.","Mahboubeh Dadkhah; S. Araban; S. Paydar","2020","Journal of Systems and Software","10.1016/j.jss.2019.110485","31","Include"
"Tacit Knowledge in Software Testing: A Systematic Review","This paper presents a systematic review of tacit knowledge in software testing. The main objectives of conducting this systematic review is to identify and synthesize issues and challenges regarding tacit knowledge in software testing, its influential factors that affect the tacit knowledge creation, sharing, use and transfer among software testers, its impacts on software testing, and the research methods being undertaken by the selected reviewed studies. Systematic Literature Review (SLR) is used for reviewing 14 primary studies that focus specifically on tacit knowledge in software testing. This paper provides significant evidences on the importance of tacit knowledge in software testing that will direct further directions for knowledge management (KM) and software testing practitioners and researchers.","Hariaty Mohd Idrus; N. Ali","2019","International Conference on Research and Innovation in Information Systems","10.1109/icriis48246.2019.9073275","3","Include"
"Situation identification system in the software testing",", . . ' . . , . , . , ,","Eugene Burov; K. Mykich; O. Veres; V. Lytvyn","2019","Vìsnik Nacìonalʹnogo unìversitetu ""Lʹvìvsʹka polìtehnìka"". Serìâ Ìnformacìjnì sistemi ta merežì","10.23939/sisn2019.02.030","1","Include"
"Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing","A mapping study provides a broad overview of a research area in order to determine whether there is research evidence on a particular topic. Results of a systematic mapping may identify suitable areas for performing future research. In this paper, we discuss our experience in using the findings of a mapping study on Knowledge Management (KM) in Software Testing for performing a real research project, which also applied other empirical approaches. The main goals of this paper are: (i) to reinforce the importance of a systematic mapping in the conduction of a research project by discussing a real case of such application, and (ii) to present the results of our survey on the most important aspects of KM when applied to software testing.","É. Souza; R. Falbo; N. Vijaykumar","2015","EUROMICRO Conference on Software Engineering and Advanced Applications","10.1109/seaa.2015.10","4","Include"
"A knowledge management approach for testing open source software systems","The development of open source software (OSS), and their deployment by general public as well as by different types of organizations, has increased manifold over the past decade or so. In spite of the ubiquity of OSS, the quality of many OSS remains questionable. Testing provides a curative approach for OSS quality assurance, and a comprehensive approach to testing is a knowledge-intensive endeavor. The management of knowledge in the OSS test process forms a perpetual cycle of creation, dissemination, and acquisition of test knowledge.","T. Abdou; Pankaj Kamthan","2014","IEEE International Performance, Computing, and Communications Conference","10.1109/pccc.2014.7017022","3","Include"
"An integrated model for effective knowledge management in Chinese organizations","Purpose The purpose of this paper is to provide organizations in the Chinese cultural context with a conceptual model for an integrated adoption of existing knowledge management (KM) methods and to improve the effectiveness of their KM activities. Design/methodology/approaches A comparative analysis is conducted between China and the western world based on a comprehensive document analysis from key databases available. In total, four critical dimensions, which are identified through the review of the related literature including observation, methodology, systems and applications, are used in the analysis for addressing the questions of why, what, how, and where in KM. Findings The paper rationalizes the need for this study in conformity with the emerging trend of an integrated use of diverse KM methods and approaches for effective KM in organizations. Further, a reference model for the integrated adoption of existing KM methods is developed with respect to the characteristics of the Chinese culture for improving the effectiveness of KM activities in the organizations. Such a model can adequately address the questions of why, what, how, and where in KM in Chinese organizations to the best of Chinese collective interest, which provides more comprehensive and unified KM views, activities, processes and technologies for collaborative innovation in Chinese organizations. Originality/value This paper is the first of its kind to systematically review existing KM methods and approaches with respect to the perspectives of observations, methodologies, systems and applications for effective KM in Chinese organizations.","X. An; Hepu Deng; Yiwen Wang; Lemen Chao","2013","Program","10.1108/prog-07-2012-0044","10","Include"
"Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software","La gestion de conocimiento se ha convertido en una clave fundamental en los procesos de la ingenieria de software, permitiendo mejorar y optimizar cada una de las actividades que se ejecutan durante todo el ciclo de desarrollo de software. Cada una de las etapas de la ingenieria de software ha adoptado de la gestion de conocimiento algunas caracteristicas, de acuerdo con las necesidades que se presentan, adecuandolos y fortaleciendolos para reducir los tiempos y disminuir la fuga de informacion dentro de las organizaciones. Es por esto que las pruebas de software han adoptado la gestion de conocimiento como la alternativa para disminuir el reproceso en las pruebas de software.","Luz Ángela Perona Ossaba; Juan Manuel Velásquez Isaza","2012","Ingenierías USBmed","10.21500/20275846.274","2","Include"
"Towards developing software testing as a service (staas) model in cloud computing: a case of collaborative knowledge management system","Software testing (ST) is the process of identifying and delivering the software as a product based on the specification that has been given and required by the users. In order to ensure the product is working properly based on the user specification, there are many people who are working together and provide their services for a community of practice (CoP) purposes. The CoP in ST of cloud computing environment are including the software designer, programmer, and system tester as well as the software users by themselves. Based on this scenario of working together or working collaboratively in order to avoid a lot of mistakes or errors and causes the software failure, which may be found during the ST as a service (STaaS) process, so that there is a need for CoP to have a tool called Collaborative Knowledge Management System (CKMS) in managing the ST knowledge of best practice and lesson learnt. The paper will discuss a model on how the ST of CoP is offering its service of processes called STaaS through knowledge life cycle which starting from knowledge acquisition, knowledge storing, knowledge dissemination, and knowledge application in order to overcome any shortcoming faulty or failure especially during the software development and it implementation in a cloud computing environment. Therefore, by utilizing the CKMS model in managing knowledge of STaaS, the CoP can maximize the STaaS knowledge in the CKMS and furthermore to overcome the mistakes or errors, so that they can also delivered a good product as part of well services besides in enhancing the quality of software of the particular users.","R. Abdullah","2012","International Conference on Software Engineering","-","2","Include"
"A model of knowledge management system in managing knowledge of software testing environment","Software testing is the process on how to identify and deliver the software as a product based on the specification that has been given and required by the users. In order to ensure that the product is working based on the user specification, there are many people who are working together for that purposes as a community of practice (CoP). The CoP in software testing environment is including the system designer, programmer, and system tester as well as the user by himself. Based on this scenario of working together or collaboratively in order to avoid a lot of mistake or errors and causes the software failure, which may be found during the processes of software testing process, so that there is a need for CoP to have a tool called knowledge management system (KMS) in managing the knowledge of best practice and lesson learnt. The paper will discuss the concept on how the KMS is offering of its processes through knowledge life cycle which starting from knowledge acquisition, knowledge storing, knowledge dissemination, and knowledge application. Therefore, by using the model of KMS in managing knowledge of software testing, CoP can utilize the knowledge in KMS and it will reduces the mistake or errors, so that they can delivered a good product besides to enhance the quality of software of the particular users.","R. Abdullah; Z. D. Eri; A. M. Talib","2011","2011 Malaysian Conference in Software Engineering","10.1109/mysec.2011.6140675","14","Include"
"Knowledge management for new product development","Purpose The purpose of this paper is to present a holistic interpretation of the scope of knowledge management processes whose intent is to enhance the effectiveness of new product development (NPD). Design/methodology/approach The paper reviews key concepts in NPD and knowledge management (KM), leading to propositions about the effective management of NPD‐relevant knowledge. It develops a structured, holistic model of organizational KM including practical mechanisms and processes for managing knowledge transfer. Findings Effective knowledge management needs to: acknowledge the multiple organizational levels at which knowledge is deployed; support the production, elicitation and exchange of tacit knowledge as well as explicit, codified information; hence accommodate and enable both informal and formal, typically IS/IT enabled knowledge processes. Practical implications KM is work‐in‐progress, not a one‐time search for an idealised state. Computer‐enabled information systems are necessary but not sufficient elements of a comprehensive approach to KM. Holistic KM should be integral to the organization, working with not against the grain of its technical, social and cultural processes. Senior managers with titles such as “chief knowledge officer” may be crucial in establishing strategic priorities and change programmes, but all NPD personnel bear responsibility for effective KM. Originality/value The paper combines propositions about the effective conduct of KM for NPD with a model of holistic KM that involves multi‐level flux and constructive knowledge transition. It identifies practical mechanisms, IS/IT enabled and otherwise, in this context. It suggests that new research to identify effective KM practices in NPD is a priority for KM researchers.","M. Pitt; Jason MacVaugh","2008","Journal of Knowledge Management","10.1108/13673270810884282","80","Include"
"Investigating Software Testing Practices in Software Development Organizations","Software testing, which is a knowledge-intensive and collaborative activity, is a sub-area of software engineering. Software testing knowledge can be applied to different testing tasks and purposes. Since software development is an error-prone task, in order to achieve quality software products, validation and verification should be carried throughout the development. This study, using qualitative methods, investigates the current practice of software testing practices in two software companies on the basis that they both claimed to apply software testing practices in their software development work. Interview results revealed some interesting latest trends in software testing from both companies.","S. Vasanthapriyan","2020","Advances in computer and electrical engineering book series","10.4018/978-1-7998-2531-9.ch011","-","Include"
"Knowledge Management in Software Testing: A Systematic Snowball Literature Review","Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the benefits that it provides in terms of cost, quality, etc. Aim: To investigate the usage and implementation of KM for software testing. The major objectives include 1. To identify various software testing aspects that receive more attention while applying KM. 2. To analyse multiple software testing techniques, i.e. test design, test execution and test result analysis and highlight KM involvement in these. 3. To gather challenges faced by industry due to the lack of KM initiatives in software testing. Method: A Systematic Literature Review (SLR) was conducted utilizing the guidelines for snowballing reviews by Wohlin. The identified studies were analysed in relation to their rigor and relevance to assess the quality of the results. Results: The initial resulting set provided 4832 studies. From these, 35 peer-reviewed papers were chosen among which 31 are primary, and 4 are secondary studies. The literature review results indicated nine testing aspects being in focus when applying KM within various adaptation contexts and some benefits from KM application. Several challenges were identified, e.g., improper selection and application of better-suited techniques, a low reuse rate of software testing knowledge, barriers in software testing knowledge transfer, no possibility to quickly achieve the most optimum distribution of human resources during testing, etc. Conclusions: The study brings supporting evidence that the application of KM in software testing is necessary, e.g., to increase test effectiveness, select and apply testing techniques. The study outlines the testing aspects and testing techniques that benefit their users.","K. Wnuk; Thrinay Garrepalli","2018","e-Informatica Software Engineering Journal","10.5277/e-inf180103","35","Include"
"Modelo de gestión de conocimiento aplicado a las pruebas de software","Las pruebas de software son una actividad intensiva en conocimiento y relevante para asegurar la calidad del producto de software. Por otro lado, la gestion de conocimiento es una disciplina transversal en las organizaciones que contribuye al aprendizaje organizacional y a la mejora continua de los procesos. A nivel academico y empresarial, existen varias iniciativas para articular la gestion del conocimiento a las pruebas de software, siendo la adopcion de estas practicas costosas y con largos periodos de implementacion, y en algunos casos, el esfuerzo invertido resulta infructuoso. Partiendo que el individuo es el principal dinamizador de cualquier estrategia para gestionar el conocimiento, las organizaciones intensivas en conocimiento deben ser analizadas como un sistema multicapa que integran tres niveles individual, grupal y organizacional. En consecuencia, en esta tesis se presenta un modelo de gestion de conocimiento que articula las practicas y actividades de las pruebas de software desde una estrategia individual basada en los principios de mejora continua y aprendizaje organizacional. El modelo se soporta en la definicion de un proceso de prueba personal basado en conocimiento (PTPk) que instancia la estructura e intencionalidad del proceso de software personal (PSP) e integra practicas de calidad a traves del aprendizaje basado en experiencias que inciden en la cultura y la conducta del profesional de pruebas de software.","D. Duran","2018","-","-","1","Include"
"Knowledge management initiatives in software testing: A mapping study","-","É. Souza; R. Falbo; N. Vijaykumar","2015","Information and Software Technology","10.1016/j.infsof.2014.05.016","58","Include"
"A model of managing knowledge for software maintenance as a service (SMaaS) in a private cloud computing environment","Software Maintenance (SM) community of practice (CoP) is including the system maintainer as a service provider and the users as its service recipient. Based on this scenario, they are working together or work collaboratively in order to optimize the capabilities of the software, which we called it as SM as a service (SMaaS) process. In this context, The CoP can make use knowledge management system (KMS) as a tool in managing the SM knowledge as a best practice and lesson learnt. SM is the process of identifying and delivering the software as a product based on service level agreement (SLA) that has been made between service provider and the users. The paper will discuss the model on how the SM is offering its service of processes through knowledge life cycle which starting from knowledge acquisition, knowledge storing, knowledge dissemination, and knowledge application in order to avoid any shortcoming fault or failure especially during the software development (SD) in a private cloud computing environment. Therefore, by using the KMS model in managing knowledge of SM, CoP can utilize the SM knowledge in the KMS and it will reduces the mistake or errors, so that they can also maintain a good service besides in enhancing the return of investment (ROI) as well as the quality of software to the particular users.","R. Abdullah; N. Mahmoodian","2013","Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia)","-","-","Include"
"Managing Knowledge in Open Source Software Test Process","The increasing adoption and use of Open Source Software (OSS) motivates study of its development. This chapter explores the state-of-the art in OSS development processes, in general, and OSS testing processes, in particular. A conceptual model for software Testing Knowledge Management (TKM) that aims to provide an understanding of the testing domain is introduced. The TKM model is informed by earlier studies and guided by international testing standards. Moreover, the TKM model is equipped with different forms of knowledge, reusable across software projects. Using the TKM model as an integrative conceptual model enables understanding of how knowledge life cycle stages are mapped onto the test process of OSS, what type of knowledge is created at each stage, and how knowledge is converted from one stage to another. The chapter is supported by representative examples of OSS that are mature and currently in widespread use.","T. Abdou; P. Grogono; Pankaj Kamthan","2013","Advances in systems analysis, software engineering, and high performance computing book series","10.4018/978-1-4666-4229-4.ch009","4","Include"
